bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,Wikidata_Qid,fullName_recon_Wikibase,Wikibase_search
https://dhwiki.wikibase.cloud/entity/Q215,https://dhwiki.wikibase.cloud/entity/statement/Q215-A280C13D-7EB1-48E2-9952-1211C782F9ED,Author,2,Zsófia,Fellegi,Zsófia Fellegi,Zsófia Fellegi,Zsófia Fellegi,,Zsófia Fellegi,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q230,https://dhwiki.wikibase.cloud/entity/statement/Q230-89E0C66A-8B49-43A0-BFCE-01552F7D60EF,Editor,7,Joseba,Fernandez de Landa,Joseba Fernandez de Landa,Joseba Fernandez de Landa,Joseba Fernandez de Landa,,Joseba Fernandez de Landa,"{""batchcomplete"": """", ""query"": {""wbsearch"": [{""ns"": 120, ""title"": ""Item:Q1516"", ""pageid"": 2548, ""displaytext"": ""Fern\u00e1ndez Dom\u00ednguez, Jes\u00fas""}, {""ns"": 120, ""title"": ""Item:Q760"", ""pageid"": 802, ""displaytext"": ""Fern\u00e1ndez-Cruz, Javier""}]}}"
https://dhwiki.wikibase.cloud/entity/Q271,https://dhwiki.wikibase.cloud/entity/statement/Q271-C9584598-D93C-4EFA-85A9-D8A80B825CFC,Author,4,Christos,Georgis,Christos Georgis,Christos Georgis,Christos Georgis,,Christos Georgis,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q254,https://dhwiki.wikibase.cloud/entity/statement/Q254-82F712E5-ED81-4B23-A4E0-D354E6111C31,Author,2,Manolis,Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,,Manolis Gergatsoulis,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q264,https://dhwiki.wikibase.cloud/entity/statement/Q264-8CA7AF98-AFCB-4AC8-A03D-40EE5B6528BD,Author,2,Manolis,Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,,Manolis Gergatsoulis,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q266,https://dhwiki.wikibase.cloud/entity/statement/Q266-D8B7DAA9-F1ED-4C5A-9DD7-1256D3BB86E6,Author,4,Manolis,Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,,Manolis Gergatsoulis,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q283,https://dhwiki.wikibase.cloud/entity/statement/Q283-3FF29B9E-8BD6-4AC9-B82A-3AAFDF0F8096,Author,3,Manolis,Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,,Manolis Gergatsoulis,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q208,https://dhwiki.wikibase.cloud/entity/statement/Q208-BF80638C-C5F7-4EE2-83FD-74E06E662175,Author,1,Jean,Godby,Jean Godby,Jean Godby,Jean Godby,,Jean Godby,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q217,https://dhwiki.wikibase.cloud/entity/statement/Q217-DAF5B46F-F829-484E-8FD8-D55C3B3582A7,Editor,7,Sara,Goggi,Sara Goggi,Sara Goggi,Sara Goggi,,Sara Goggi,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q237,https://dhwiki.wikibase.cloud/entity/statement/Q237-D6EDD90F-027D-4E46-906F-8D1C8E021874,Author,3,Larry,González,Larry González,Larry González,Larry González,,Larry González,"{""batchcomplete"": """", ""query"": {""wbsearch"": [{""ns"": 120, ""title"": ""Item:Q1521"", ""pageid"": 2553, ""displaytext"": ""Gonz\u00e1lez Ribao, Vanessa""}, {""ns"": 120, ""title"": ""Item:Q618"", ""pageid"": 658, ""displaytext"": ""Gonz\u00e1lez Iglesias, Juan Antonio""}]}}"
https://dhwiki.wikibase.cloud/entity/Q259,https://dhwiki.wikibase.cloud/entity/statement/Q259-80C858DF-1B4D-4FE9-BF3D-4E2D4AA5E143,Editor,1,María Elvira,González Lezcano,María Elvira González Lezcano,María Elvira González Lezcano,María Elvira González Lezcano,,María Elvira González Lezcano,"{""batchcomplete"": """", ""query"": {""wbsearch"": [{""ns"": 120, ""title"": ""Item:Q1521"", ""pageid"": 2553, ""displaytext"": ""Gonz\u00e1lez Ribao, Vanessa""}, {""ns"": 120, ""title"": ""Item:Q618"", ""pageid"": 658, ""displaytext"": ""Gonz\u00e1lez Iglesias, Juan Antonio""}]}}"
https://dhwiki.wikibase.cloud/entity/Q243,https://dhwiki.wikibase.cloud/entity/statement/Q243-C09DC558-89A7-411A-AB5B-CDB6EBE18A74,Editor,7,Paul,Groth,Paul Groth,Paul Groth,Paul Groth,,Paul Groth,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q223,https://dhwiki.wikibase.cloud/entity/statement/Q223-1D466570-12D9-4DDA-9652-FE61F8277F03,Editor,4,Paul,Groth,Paul Groth,Paul Groth,Paul Groth,,Paul Groth,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q243,https://dhwiki.wikibase.cloud/entity/statement/Q243-3B969521-5C0C-4E60-886F-20B9ED7C4887,Author,2,Michael,Günther,Michael Günther,Michael Günther,Michael Günther,,Michael Günther,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q270,https://dhwiki.wikibase.cloud/entity/statement/Q270-D9D8A696-7B90-4F17-83EF-D1E9C10D0D56,Author,8,Victor,Harbo,Victor Harbo,Victor Harbo,Victor Harbo,,Victor Harbo,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q270,https://dhwiki.wikibase.cloud/entity/statement/Q270-904CBA7B-59CB-4667-A582-97889E5C66CD,Author,9,Katrine,Hofmann,Katrine Hofmann,Katrine Hofmann,Katrine Hofmann,,Katrine Hofmann,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q270,https://dhwiki.wikibase.cloud/entity/statement/Q270-CB69BEA4-5EB0-40AE-84D8-2EB649EDEA76,Author,10,Olga,Holownia,Olga Holownia,Olga Holownia,Olga Holownia,,Olga Holownia,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q482,https://dhwiki.wikibase.cloud/entity/statement/Q482-CC38B8A6-63A5-4073-8FF0-F585DCEA02F5,Author,3,Olga,Holownia,Olga Holownia,Olga Holownia,Olga Holownia,,Olga Holownia,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q224,https://dhwiki.wikibase.cloud/entity/statement/Q224-FB842EF2-D442-45A3-91FA-E177C9BFE93B,Author,5,Federicia,Iurescia,Federicia Iurescia,Federicia Iurescia,Federicia Iurescia,,Federicia Iurescia,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q243,https://dhwiki.wikibase.cloud/entity/statement/Q243-225871EC-1AA0-4A10-B360-1CF995827A47,Editor,9,Krzysztof,Janowicz,Krzysztof Janowicz,Krzysztof Janowicz,Krzysztof Janowicz,,Krzysztof Janowicz,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q223,https://dhwiki.wikibase.cloud/entity/statement/Q223-185CEFC4-0F1D-4C20-9E9B-C16B52215131,Editor,10,Krzysztof,Janowicz,Krzysztof Janowicz,Krzysztof Janowicz,Krzysztof Janowicz,,Krzysztof Janowicz,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q266,https://dhwiki.wikibase.cloud/entity/statement/Q266-6BE1A5FB-A245-441A-B4E1-E9D7E1430937,Author,5,Eleftherios,Kalogeros,Eleftherios Kalogeros,Eleftherios Kalogeros,Eleftherios Kalogeros,,Eleftherios Kalogeros,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q283,https://dhwiki.wikibase.cloud/entity/statement/Q283-173F08D0-B621-47C5-907B-532D20241018,Editor,3,Pythagoras,Karampiperis,Pythagoras Karampiperis,Pythagoras Karampiperis,Pythagoras Karampiperis,,Pythagoras Karampiperis,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q220,https://dhwiki.wikibase.cloud/entity/statement/Q220-2B88F2F4-91C1-408F-88C6-A30FF396EF7D,Author,2,Penny,Labropoulou,Penny Labropoulou,Penny Labropoulou,Penny Labropoulou,,Penny Labropoulou,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q222,https://dhwiki.wikibase.cloud/entity/statement/Q222-3D1E171F-1B5A-4D53-8FF2-19A90193200A,Author,1,Penny,Labropoulou,Penny Labropoulou,Penny Labropoulou,Penny Labropoulou,,Penny Labropoulou,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
https://dhwiki.wikibase.cloud/entity/Q223,https://dhwiki.wikibase.cloud/entity/statement/Q223-0A847528-1886-42A1-BBD2-B7861EE93E6C,Author,2,Jens,Lehmann,Jens Lehmann,Jens Lehmann,Jens Lehmann,,Jens Lehmann,"{""batchcomplete"": """", ""query"": {""wbsearch"": []}}"
