word,anchor,oliacat
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102559_102565,Зидови,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102566_102568,су,http://purl.org/olia/olia.owl#AuxiliaryVerb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102623_102624,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102617_102623,свилом,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102626_102633,Гредице,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102634_102636,су,http://purl.org/olia/olia.owl#AuxiliaryVerb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102732_102733,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102726_102732,перваз,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102735_102736,С,http://purl.org/olia/olia.owl#Adposition
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102737_102742,једне,http://purl.org/olia/olia.owl#Numeral
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102886_102887,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102882_102886,соба,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102889_102892,Над,http://purl.org/olia/olia.owl#Adposition
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_102893_102900,обојима,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103045_103046,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103041_103045,зове,http://purl.org/olia/olia.owl#Verb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103048_103049,С,http://purl.org/olia/olia.owl#Adposition
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103050_103055,треће,http://purl.org/olia/olia.owl#Adjective
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103214_103215,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103206_103214,зидовима,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103217_103222,Према,http://purl.org/olia/olia.owl#Adposition
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103223_103230,постељи,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103373_103374,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103365_103373,постељом,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103376_103377,С,http://purl.org/olia/olia.owl#Adposition
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103378_103383,десне,http://purl.org/olia/olia.owl#Adjective
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103529_103530,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103521_103529,первазом,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103532_103537,Према,http://purl.org/olia/olia.owl#Adposition
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103538_103543,овоме,http://purl.org/olia/olia.owl#Determiner
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103599_103600,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103594_103599,Долче,http://purl.org/olia/olia.owl#ProperNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103602_103606,Пред,http://purl.org/olia/olia.owl#Adposition
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103607_103613,иконом,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103651_103652,.,http://purl.org/olia/olia.owl#Punctuation
