bibItem,creatorstatement,propLabel,listpos,givenName,lastName,fullName,fullName_clusters,fullName_recon_Wikidata,fullName_recon_Wikibase
https://dhwiki.wikibase.cloud/entity/Q254,https://dhwiki.wikibase.cloud/entity/statement/Q254-82F712E5-ED81-4B23-A4E0-D354E6111C31,Author,2,Manolis,Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis
https://dhwiki.wikibase.cloud/entity/Q264,https://dhwiki.wikibase.cloud/entity/statement/Q264-8CA7AF98-AFCB-4AC8-A03D-40EE5B6528BD,Author,2,Manolis,Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis
https://dhwiki.wikibase.cloud/entity/Q266,https://dhwiki.wikibase.cloud/entity/statement/Q266-D8B7DAA9-F1ED-4C5A-9DD7-1256D3BB86E6,Author,4,Manolis,Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis
https://dhwiki.wikibase.cloud/entity/Q283,https://dhwiki.wikibase.cloud/entity/statement/Q283-3FF29B9E-8BD6-4AC9-B82A-3AAFDF0F8096,Author,3,Manolis,Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis,Manolis Gergatsoulis
https://dhwiki.wikibase.cloud/entity/Q222,https://dhwiki.wikibase.cloud/entity/statement/Q222-C7E0E904-449D-403D-BFF2-BB0DBB0F9709,Author,4,Katerina,Gkirtzou,Katerina Gkirtzou,Katerina Gkirtzou,Katerina Gkirtzou,Katerina Gkirtzou
https://dhwiki.wikibase.cloud/entity/Q243,https://dhwiki.wikibase.cloud/entity/statement/Q243-D9F433F4-A7F7-4840-9B24-1C207C0D4BB4,Editor,10,Carole,Goble,Carole Goble,Carole Goble,Carole Goble,Carole Goble
https://dhwiki.wikibase.cloud/entity/Q208,https://dhwiki.wikibase.cloud/entity/statement/Q208-BF80638C-C5F7-4EE2-83FD-74E06E662175,Author,1,Jean,Godby,Jean Godby,Jean Godby,Jean Godby,Jean Godby
https://dhwiki.wikibase.cloud/entity/Q230,https://dhwiki.wikibase.cloud/entity/statement/Q230-394FE028-F896-4B26-A5CA-AAD2817472F7,Editor,8,Xabier,Goenaga,Xabier Goenaga,Xabier Goenaga,Xabier Goenaga,Xabier Goenaga
https://dhwiki.wikibase.cloud/entity/Q217,https://dhwiki.wikibase.cloud/entity/statement/Q217-DAF5B46F-F829-484E-8FD8-D55C3B3582A7,Editor,7,Sara,Goggi,Sara Goggi,Sara Goggi,Sara Goggi,Sara Goggi
https://dhwiki.wikibase.cloud/entity/Q266,https://dhwiki.wikibase.cloud/entity/statement/Q266-94F63204-A328-4195-B1EE-A959687E85A8,Editor,1,Dion H.,Goh,Dion H. Goh,Dion H. Goh,Dion H. Goh,Dion H. Goh
https://dhwiki.wikibase.cloud/entity/Q237,https://dhwiki.wikibase.cloud/entity/statement/Q237-FB9C25B1-08FD-4828-8C6D-BB500260E184,Author,4,Julius,Gonsior,Julius Gonsior,Julius Gonsior,Julius Gonsior,Julius Gonsior
https://dhwiki.wikibase.cloud/entity/Q247,https://dhwiki.wikibase.cloud/entity/statement/Q247-75227097-6D9C-4A16-9C43-8F69E31E297A,Author,5,Galder,Gonzalez,Galder Gonzalez,Galder Gonzalez,Galder Gonzalez,Galder Gonzalez
https://dhwiki.wikibase.cloud/entity/Q237,https://dhwiki.wikibase.cloud/entity/statement/Q237-D6EDD90F-027D-4E46-906F-8D1C8E021874,Author,3,Larry,González,Larry González,Larry González,Larry González,Larry González
https://dhwiki.wikibase.cloud/entity/Q240,https://dhwiki.wikibase.cloud/entity/statement/Q240-869DEA0A-C3E7-4089-B94C-99E19E223705,Author,4,Benjamin M,Good,Benjamin M Good,Benjamin M Good,Benjamin M Good,Benjamin M Good
https://dhwiki.wikibase.cloud/entity/Q257,https://dhwiki.wikibase.cloud/entity/statement/Q257-9C0B86D2-009F-4ADB-950D-2F711254B13F,Author,4,Benjamin M.,Good,Benjamin M. Good,Benjamin M. Good,Benjamin M. Good,Benjamin M. Good
https://dhwiki.wikibase.cloud/entity/Q228,https://dhwiki.wikibase.cloud/entity/statement/Q228-787352D3-781F-44EE-8B8F-E92C93329825,Author,3,Jorge,Gracia,Jorge Gracia,Jorge Gracia,Jorge Gracia,Jorge Gracia
https://dhwiki.wikibase.cloud/entity/Q213,https://dhwiki.wikibase.cloud/entity/statement/Q213-9980F5F8-3AF5-47E8-BEBC-30F7E2AB7727,Editor,4,Jorge,Gracia,Jorge Gracia,Jorge Gracia,Jorge Gracia,Jorge Gracia
https://dhwiki.wikibase.cloud/entity/Q264,https://dhwiki.wikibase.cloud/entity/statement/Q264-4AE7B604-337B-480C-A4C9-4E7B5F2DBFC8,Editor,4,Jane,Greenberg,Jane Greenberg,Jane Greenberg,Jane Greenberg,Jane Greenberg
https://dhwiki.wikibase.cloud/entity/Q240,https://dhwiki.wikibase.cloud/entity/statement/Q240-FB6B0BAE-AF1B-49F2-8D86-B67F92B768FB,Author,5,Malachi,Griffith,Malachi Griffith,Malachi Griffith,Malachi Griffith,Malachi Griffith
https://dhwiki.wikibase.cloud/entity/Q257,https://dhwiki.wikibase.cloud/entity/statement/Q257-5FB49CC8-5F8F-441A-8D08-8359E49A9D87,Author,5,Malachi,Griffith,Malachi Griffith,Malachi Griffith,Malachi Griffith,Malachi Griffith
https://dhwiki.wikibase.cloud/entity/Q257,https://dhwiki.wikibase.cloud/entity/statement/Q257-22E6197F-F9DF-4B25-B152-D62E0D60E6FC,Author,6,Obi,Griffith,Obi Griffith,Obi Griffith,Obi Griffith,Obi Griffith
https://dhwiki.wikibase.cloud/entity/Q240,https://dhwiki.wikibase.cloud/entity/statement/Q240-00C534EC-F286-4F4A-BB4F-076758D3EE0E,Author,6,Obi L,Griffith,Obi L Griffith,Obi L Griffith,Obi L Griffith,Obi L Griffith
https://dhwiki.wikibase.cloud/entity/Q243,https://dhwiki.wikibase.cloud/entity/statement/Q243-C09DC558-89A7-411A-AB5B-CDB6EBE18A74,Editor,7,Paul,Groth,Paul Groth,Paul Groth,Paul Groth,Paul Groth
https://dhwiki.wikibase.cloud/entity/Q223,https://dhwiki.wikibase.cloud/entity/statement/Q223-1D466570-12D9-4DDA-9652-FE61F8277F03,Editor,4,Paul,Groth,Paul Groth,Paul Groth,Paul Groth,Paul Groth
https://dhwiki.wikibase.cloud/entity/Q243,https://dhwiki.wikibase.cloud/entity/statement/Q243-3B969521-5C0C-4E60-886F-20B9ED7C4887,Author,2,Michael,Günther,Michael Günther,Michael Günther,Michael Günther,Michael Günther
https://dhwiki.wikibase.cloud/entity/Q240,https://dhwiki.wikibase.cloud/entity/statement/Q240-67CFDB06-FEBB-4E9E-8FD2-58EAD35F4F0C,Author,7,Kristina,Hanspers,Kristina Hanspers,Kristina Hanspers,Kristina Hanspers,Kristina Hanspers
https://dhwiki.wikibase.cloud/entity/Q257,https://dhwiki.wikibase.cloud/entity/statement/Q257-621A0124-899E-4D0D-A15D-7D74EC93C682,Author,7,Kristina,Hanspers,Kristina Hanspers,Kristina Hanspers,Kristina Hanspers,Kristina Hanspers
https://dhwiki.wikibase.cloud/entity/Q270,https://dhwiki.wikibase.cloud/entity/statement/Q270-D9D8A696-7B90-4F17-83EF-D1E9C10D0D56,Author,8,Victor,Harbo,Victor Harbo,Victor Harbo,Victor Harbo,Victor Harbo
https://dhwiki.wikibase.cloud/entity/Q251,https://dhwiki.wikibase.cloud/entity/statement/Q251-B7A5A837-7565-46CB-9EFE-6161B79840F6,Editor,6,Olaf,Hartig,Olaf Hartig,Olaf Hartig,Olaf Hartig,Olaf Hartig
https://dhwiki.wikibase.cloud/entity/Q223,https://dhwiki.wikibase.cloud/entity/statement/Q223-908E8AB9-8068-4FF2-9D7C-ADA8CABE19A4,Author,1,Sebastian,Hellmann,Sebastian Hellmann,Sebastian Hellmann,Sebastian Hellmann,Sebastian Hellmann
https://dhwiki.wikibase.cloud/entity/Q240,https://dhwiki.wikibase.cloud/entity/statement/Q240-C00DFBE6-D8CE-46DE-A653-21E70AB06D5A,Author,8,Henning,Hermjakob,Henning Hermjakob,Henning Hermjakob,Henning Hermjakob,Henning Hermjakob
https://dhwiki.wikibase.cloud/entity/Q257,https://dhwiki.wikibase.cloud/entity/statement/Q257-A33A47A0-FAD8-4952-9125-6E5258294D60,Author,8,Henning,Hermjakob,Henning Hermjakob,Henning Hermjakob,Henning Hermjakob,Henning Hermjakob
https://dhwiki.wikibase.cloud/entity/Q246,https://dhwiki.wikibase.cloud/entity/statement/Q246-7F30E0A4-9FFD-400C-ADA5-29FEAC4C9975,Author,1,Iván,Hernández Cazorla,Iván Hernández Cazorla,Iván Hernández Cazorla,Iván Hernández Cazorla,Iván Hernández Cazorla
https://dhwiki.wikibase.cloud/entity/Q270,https://dhwiki.wikibase.cloud/entity/statement/Q270-904CBA7B-59CB-4667-A582-97889E5C66CD,Author,9,Katrine,Hofmann,Katrine Hofmann,Katrine Hofmann,Katrine Hofmann,Katrine Hofmann
https://dhwiki.wikibase.cloud/entity/Q270,https://dhwiki.wikibase.cloud/entity/statement/Q270-CB69BEA4-5EB0-40AE-84D8-2EB649EDEA76,Author,10,Olga,Holownia,Olga Holownia,Olga Holownia,Olga Holownia,Olga Holownia
https://dhwiki.wikibase.cloud/entity/Q251,https://dhwiki.wikibase.cloud/entity/statement/Q251-1BC1BD21-EE05-4231-8014-7E2F0D29C602,Editor,2,Katja,Hose,Katja Hose,Katja Hose,Katja Hose,Katja Hose
https://dhwiki.wikibase.cloud/entity/Q226,https://dhwiki.wikibase.cloud/entity/statement/Q226-5F979B45-AEA9-4DD6-B167-BE6C3141A1EC,Author,1,Elwin,Huaman,Elwin Huaman,Elwin Huaman,Elwin Huaman,Elwin Huaman
https://dhwiki.wikibase.cloud/entity/Q226,https://dhwiki.wikibase.cloud/entity/statement/Q226-B1209FAC-ACB3-477D-AAF4-25A9E2229943,Author,4,Jorge Luis,Huaman,Jorge Luis Huaman,Jorge Luis Huaman,Jorge Luis Huaman,Jorge Luis Huaman
https://dhwiki.wikibase.cloud/entity/Q240,https://dhwiki.wikibase.cloud/entity/statement/Q240-43AED07E-CE54-4960-90B0-FAA14C171E87,Author,9,Toby S,Hudson,Toby S Hudson,Toby S Hudson,Toby S Hudson,Toby S Hudson
https://dhwiki.wikibase.cloud/entity/Q257,https://dhwiki.wikibase.cloud/entity/statement/Q257-3BA19DDE-B70B-4B2A-B5C4-83904E3EC5BC,Author,9,Toby S.,Hudson,Toby S. Hudson,Toby S. Hudson,Toby S. Hudson,Toby S. Hudson
https://dhwiki.wikibase.cloud/entity/Q240,https://dhwiki.wikibase.cloud/entity/statement/Q240-0D8B82D1-BAD2-4419-B492-9D6FBDF2C9E3,Author,10,Kevin,Hybiske,Kevin Hybiske,Kevin Hybiske,Kevin Hybiske,Kevin Hybiske
https://dhwiki.wikibase.cloud/entity/Q257,https://dhwiki.wikibase.cloud/entity/statement/Q257-45C33CFA-D181-4D16-99AF-1184EA8C168C,Author,10,Kevin,Hybiske,Kevin Hybiske,Kevin Hybiske,Kevin Hybiske,Kevin Hybiske
https://dhwiki.wikibase.cloud/entity/Q281,https://dhwiki.wikibase.cloud/entity/statement/Q281-D499374B-93CE-4F90-AA93-60380BD4DB05,Editor,1,Eero,Hyvönen,Eero Hyvönen,Eero Hyvönen,Eero Hyvönen,Eero Hyvönen
https://dhwiki.wikibase.cloud/entity/Q277,https://dhwiki.wikibase.cloud/entity/statement/Q277-3987ECDC-7DCA-4B3E-8F2C-1F6A346DB43B,Author,3,Eero,Hyvönen,Eero Hyvönen,Eero Hyvönen,Eero Hyvönen,Eero Hyvönen
https://dhwiki.wikibase.cloud/entity/Q270,https://dhwiki.wikibase.cloud/entity/statement/Q270-48DDB05E-4FFE-4BF4-B68F-929833576DBB,Author,11,Alba,Irollo,Alba Irollo,Alba Irollo,Alba Irollo,Alba Irollo
